epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.36041,1.70564,3.4496,1.1208,0.39272,0.16667,0.12699,0.08191,1.39562,3.87887,1.09987,7.69e-06,7.69e-06,7.69e-06
2,12.6235,1.6287,3.65099,1.14624,0.08933,0.18629,0.24797,0.18417,0.99494,3.70446,1.03676,2.26132e-05,2.26132e-05,2.26132e-05
3,19.5353,1.21636,3.26575,1.01877,0.39454,0.16667,0.32103,0.25563,0.96594,3.60389,0.99855,3.69274e-05,3.69274e-05,3.69274e-05
4,25.8648,0.98061,2.85886,0.98006,0.30686,0.5,0.4339,0.25702,1.36896,3.4195,0.98886,5.06325e-05,5.06325e-05,5.06325e-05
5,31.9041,1.07117,2.70737,0.99144,0.74177,0.60453,0.45113,0.26779,1.43095,3.33624,0.97944,6.37286e-05,6.37286e-05,6.37286e-05
6,37.8364,1.09778,2.59245,0.9842,0.4291,0.83333,0.44569,0.32893,1.09498,4.18316,0.97073,7.62156e-05,7.62156e-05,7.62156e-05
7,43.9027,0.86375,2.12946,0.94014,0.32485,0.83333,0.41815,0.34832,0.8819,5.42302,0.9666,8.80936e-05,8.80936e-05,8.80936e-05
8,50.2073,0.913,2.25648,0.98105,0.34711,0.83333,0.47355,0.3953,0.81835,6.5771,0.97936,9.93625e-05,9.93625e-05,9.93625e-05
9,56.4058,0.93986,2.33235,0.96898,0.36917,0.83333,0.5011,0.42025,0.76811,6.66295,0.98339,0.000110022,0.000110022,0.000110022
10,62.4704,0.89326,2.22513,1.00157,0.4658,0.83333,0.5011,0.44513,0.7791,5.97207,0.98715,0.000120073,0.000120073,0.000120073
11,68.605,0.94407,2.11037,0.97613,0.48052,0.81781,0.52894,0.48102,0.7979,5.28755,0.98523,0.000129515,0.000129515,0.000129515
12,74.6863,0.8559,1.93714,0.92518,0.45764,0.81457,0.52869,0.45959,0.82211,4.66009,0.98352,0.000138348,0.000138348,0.000138348
13,80.7349,0.82794,1.93721,0.92656,0.44795,0.81369,0.50089,0.39871,0.91966,4.11247,0.97904,0.000146571,0.000146571,0.000146571
14,87.0451,0.8646,1.83963,0.91628,0.44486,0.81756,0.50066,0.38052,1.01534,3.84707,0.968,0.000154186,0.000154186,0.000154186
15,93.0619,1.12186,2.32725,1.03131,0.45344,0.8213,0.52809,0.42353,0.99144,3.7777,0.96272,0.000161192,0.000161192,0.000161192
16,98.9852,0.8528,1.83093,0.94563,0.53448,0.72222,0.5562,0.50027,0.82408,3.52168,0.95751,0.000167588,0.000167588,0.000167588
17,105.185,0.83575,1.71039,0.92554,0.57581,0.73058,0.58392,0.5335,0.62557,3.00402,0.95554,0.000173376,0.000173376,0.000173376
18,111.243,0.82753,1.79775,0.9835,0.59425,0.72992,0.58427,0.50356,0.73885,2.92272,0.96704,0.000178554,0.000178554,0.000178554
19,117.228,0.85634,1.62257,0.94093,0.5944,0.73549,0.58483,0.504,0.79212,2.8298,0.97748,0.000183124,0.000183124,0.000183124
20,123.208,0.78668,1.56407,0.97423,0.5675,0.77944,0.52948,0.47626,0.77491,2.81382,0.98215,0.000187084,0.000187084,0.000187084
21,129.585,0.72528,1.64031,0.94515,0.55944,0.82096,0.52929,0.48729,0.74258,2.81972,0.98074,0.000190435,0.000190435,0.000190435
22,135.801,0.77841,1.51267,0.90546,0.57347,0.82533,0.52955,0.47091,0.77961,2.81492,0.97795,0.000193177,0.000193177,0.000193177
23,142.4,0.84378,1.87059,0.91503,0.58666,0.83333,0.52948,0.47083,0.82146,2.85956,0.98338,0.000195311,0.000195311,0.000195311
24,148.879,0.78099,1.37805,0.97233,0.59267,0.83333,0.52955,0.47629,0.78943,2.65039,0.97963,0.000196835,0.000196835,0.000196835
25,155.142,0.78986,1.79849,0.96338,0.59834,0.83333,0.52923,0.43094,0.85525,2.31581,0.99013,0.00019775,0.00019775,0.00019775
26,161.335,0.74831,1.49153,1.00652,0.73611,0.83333,0.75088,0.58616,1.01774,2.05265,1.00192,0.000198056,0.000198056,0.000198056
27,167.329,0.76918,1.52178,0.90538,0.75927,0.83333,0.75112,0.5152,1.10657,1.99132,1.01284,0.000197753,0.000197753,0.000197753
28,173.315,0.73705,1.51965,0.9451,0.75927,0.83333,0.75112,0.5152,1.10657,1.99132,1.01284,0.000196841,0.000196841,0.000196841
29,179.216,0.71118,1.3015,0.92493,0.76826,0.83333,0.75066,0.58123,1.03211,1.93892,1.00944,0.00019532,0.00019532,0.00019532
30,185.206,0.76861,1.66155,0.99543,0.79454,0.83333,0.74995,0.58897,0.99892,1.99745,1.00879,0.00019319,0.00019319,0.00019319
31,191.225,0.73598,1.28702,0.95165,0.79454,0.83333,0.74995,0.58897,0.99892,1.99745,1.00879,0.000190451,0.000190451,0.000190451
32,197.487,0.83854,1.54826,0.97125,0.80429,0.83333,0.74917,0.59629,0.93806,2.03916,1.01391,0.000187102,0.000187102,0.000187102
33,203.535,0.7296,1.35789,0.93519,0.81057,0.83333,0.74898,0.64863,0.9187,1.96016,1.03212,0.000183145,0.000183145,0.000183145
34,209.57,0.75911,1.34928,0.94157,0.81057,0.83333,0.74898,0.64863,0.9187,1.96016,1.03212,0.000178579,0.000178579,0.000178579
35,215.447,0.69483,1.2963,0.90717,0.80005,0.83333,0.74873,0.67283,0.81322,2.08621,1.02379,0.000173403,0.000173403,0.000173403
36,221.366,0.65964,1.24576,0.92741,0.77827,0.83333,0.7485,0.6879,0.6776,2.15203,1.00797,0.000167619,0.000167619,0.000167619
37,227.336,0.66385,1.29262,0.92969,0.77827,0.83333,0.7485,0.6879,0.6776,2.15203,1.00797,0.000161225,0.000161225,0.000161225
38,233.259,0.65883,1.35232,0.90431,0.76848,0.83333,0.74866,0.7122,0.62293,2.09941,1.00187,0.000154223,0.000154223,0.000154223
39,239.075,0.7161,1.3729,0.97281,0.76832,0.83333,0.74931,0.67752,0.67716,2.13493,0.99617,0.000146611,0.000146611,0.000146611
40,245.014,0.65416,1.20782,0.98553,0.76832,0.83333,0.74931,0.67752,0.67716,2.13493,0.99617,0.000138391,0.000138391,0.000138391
41,251.017,0.69736,1.92566,0.98135,0.78462,0.83333,0.75081,0.71127,0.64028,2.04387,0.98103,0.000129561,0.000129561,0.000129561
42,257.17,0.63544,1.84621,0.98402,0.80121,0.83333,0.75168,0.71151,0.63875,2.00174,0.97656,0.000120122,0.000120122,0.000120122
43,263.377,0.59711,1.79952,0.90459,0.80121,0.83333,0.75168,0.71151,0.63875,2.00174,0.97656,0.000110075,0.000110075,0.000110075
44,269.421,0.62712,1.80526,0.89461,0.80786,0.83333,0.74827,0.71016,0.66612,1.96831,0.97793,9.94179e-05,9.94179e-05,9.94179e-05
45,275.469,0.67869,1.83466,0.93432,0.80786,0.83333,0.74827,0.71016,0.66612,1.96831,0.97793,8.8152e-05,8.8152e-05,8.8152e-05
46,281.554,0.67127,1.73002,0.91419,0.79744,0.83333,0.7483,0.70642,0.68274,1.97253,0.97881,7.62771e-05,7.62771e-05,7.62771e-05
47,287.637,0.73551,1.68007,0.93734,0.79744,0.83333,0.7483,0.70642,0.68274,1.97253,0.97881,6.37932e-05,6.37932e-05,6.37932e-05
