epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.75026,1.18503,3.95133,1.17538,0.8216,0.44444,0.77444,0.47013,1.36199,3.28125,1.10782,7.69e-06,7.69e-06,7.69e-06
2,13.286,1.12276,3.79877,1.12678,0.82662,0.44182,0.77444,0.51445,1.21605,3.14897,1.04717,2.26132e-05,2.26132e-05,2.26132e-05
3,19.7419,1.22744,4.11931,1.10004,0.7234,0.44444,0.75873,0.58033,1.00865,3.06812,0.97757,3.69274e-05,3.69274e-05,3.69274e-05
4,26.1806,1.17029,3.59403,1.23523,0.76114,0.36137,0.785,0.6211,0.8366,2.88208,0.92592,5.06325e-05,5.06325e-05,5.06325e-05
5,32.864,1.02775,3.0877,1.17718,0.90383,0.33333,0.7581,0.65277,0.66328,2.73573,0.90082,6.37286e-05,6.37286e-05,6.37286e-05
6,39.3224,0.99499,3.11417,1.04517,0.64066,0.66667,0.72967,0.64656,0.64653,2.62507,0.90155,7.62156e-05,7.62156e-05,7.62156e-05
7,45.829,1.02891,2.9372,1.08173,0.63509,0.66667,0.74625,0.63321,0.64549,2.3994,0.91109,8.80936e-05,8.80936e-05,8.80936e-05
8,52.4482,0.95886,2.8217,0.99314,0.6786,0.66667,0.73704,0.63583,0.62283,2.36305,0.90499,9.93625e-05,9.93625e-05,9.93625e-05
9,58.7393,1.10992,2.4744,1.13494,0.73932,0.66667,0.7581,0.68088,0.61189,2.49943,0.89647,0.000110022,0.000110022,0.000110022
10,64.8734,1.0056,2.41905,1.06978,0.65474,0.66667,0.60806,0.55557,0.61283,2.66911,0.89728,0.000120073,0.000120073,0.000120073
11,71.0875,0.80307,2.22165,0.9476,0.66003,0.66667,0.63017,0.53893,0.68494,3.08595,0.90494,0.000129515,0.000129515,0.000129515
12,77.2737,0.93689,2.28526,1.03352,0.65253,0.66667,0.66333,0.57002,0.77505,3.37625,0.91698,0.000138348,0.000138348,0.000138348
13,83.2753,0.87629,2.24262,0.99913,0.64676,0.66667,0.66333,0.54052,0.79457,3.56932,0.92416,0.000146571,0.000146571,0.000146571
14,89.3419,0.76965,2.20946,1.01575,0.68895,0.66667,0.82917,0.70053,0.75271,3.6425,0.91817,0.000154186,0.000154186,0.000154186
15,95.7321,0.82534,2.06065,1.0036,0.72437,0.66667,0.78517,0.69936,0.73756,3.48754,0.91514,0.000161192,0.000161192,0.000161192
16,102.071,0.85559,1.96114,0.97499,0.80792,0.66667,0.78517,0.65798,0.73767,3.13286,0.92103,0.000167588,0.000167588,0.000167588
17,108.578,0.83487,2.2543,1.01461,0.78335,0.66667,0.7485,0.59915,0.77716,2.95339,0.94017,0.000173376,0.000173376,0.000173376
18,115.116,0.67718,1.97469,0.91803,0.43876,0.66667,0.7485,0.6258,0.80499,2.6867,0.95636,0.000178554,0.000178554,0.000178554
19,121.578,0.87514,1.89217,0.95214,0.45074,0.70217,0.7485,0.62997,0.83844,2.53127,0.97043,0.000183124,0.000183124,0.000183124
20,127.976,0.71737,1.73141,0.94064,0.4405,0.79248,0.78517,0.63812,0.84693,2.39934,0.97371,0.000187084,0.000187084,0.000187084
